price,bid1_vol,bid2_vol,bid3_vol,bid4_vol,bid5_vol,ask1_vol,ask2_vol,ask3_vol,ask4_vol,ask5_vol,label
1.08192,4.659,2.595,2.785,3.143,1.331,2.804,3.334,4.068,0.924,1.865,1
1.08195,0.908,4.143,3.62,0.688,4.92,4.841,3.443,3.27,1.209,0.568,1
1.08192,1.356,1.589,0.635,2.588,2.482,4.291,2.836,3.381,2.749,3.481,1
1.08192,2.558,1.752,4.989,4.981,4.281,3.685,1.919,1.533,1.801,0.816,1
1.08193,4.31,2.239,4.811,4.313,0.502,1.444,4.596,2.615,4.912,2.288,1
1.08186,0.829,3.333,4.003,1.714,0.892,1.997,4.838,3.911,1.031,1.609,1
1.08188,4.087,1.3,3.017,2.513,1.358,3.794,1.089,3.397,1.024,2.393,1
1.08189,1.458,1.714,4.869,4.115,1.869,4.482,1.448,2.274,4.345,3.388,1
1.08205,1.46,1.662,3.977,1.98,1.833,0.83,0.906,3.122,1.594,3.206,1
1.08217,2.173,2.539,4.816,2.677,3.086,4.399,1.323,1.194,4.588,4.18,0
1.08217,3.827,4.732,1.385,4.776,4.47,3.216,2.397,0.967,0.674,4.832,0
1.08221,1.573,3.671,1.656,4.207,3.184,1.82,1.289,3.742,0.809,1.528,0
1.08209,3.264,1.761,4.628,1.418,0.575,1.711,2.506,0.772,1.293,2.16,1
1.08204,3.075,1.092,2.13,4.509,4.912,3.456,3.61,3.13,1.132,0.658,1
1.08218,3.654,4.832,0.596,3.363,2.67,3.787,1.935,4.997,0.839,2.957,0
1.0822,3.817,4.551,3.817,3.667,4.07,4.618,2.083,3.583,4.554,4.42,0
1.0821,4.386,3.078,3.312,2.221,3.122,3.24,0.861,3.377,4.97,4.459,0
1.08216,3.777,2.248,3.808,3.114,2.482,4.273,0.877,3.876,0.634,3.206,0
1.08211,3.643,2.738,3.265,4.642,1.651,0.551,1.855,3.552,1.412,1.263,0
1.08212,4.576,3.47,2.489,4.513,1.971,3.497,1.393,2.439,4.127,4.614,0
1.08216,3.124,1.924,1.113,2.734,4.267,4.319,3.7,4.775,1.746,1.261,0
1.08212,2.528,1.738,1.463,2.363,3.316,2.722,1.919,4.276,4.919,2.536,0
1.08213,4.428,0.687,3.689,3.068,1.891,4.062,0.586,1.111,2.547,0.611,0
1.08214,4.234,1.568,1.134,0.711,3.331,2.509,3.335,3.448,4.133,4.813,0
1.08212,2.638,1.304,0.548,2.625,3.714,1.306,1.726,2.056,3.638,2.842,0
1.08209,3.265,3.903,2.271,4.064,4.578,0.892,4.697,3.751,1.085,2.541,0
1.08198,2.196,3.06,4.457,4.085,4.749,2.587,3.431,1.422,3.749,4.183,0
1.08188,3.387,3.729,1.46,4.55,4.912,4.898,2.916,4.059,1.942,4.595,1
1.08192,0.872,2.484,2.976,3.957,2.694,0.628,4.141,0.788,4.099,1.278,1
1.08187,2.008,4.046,1.132,1.169,2.824,3.756,4.28,3.602,4.756,2.717,1
1.0819,1.496,2.87,1.806,3.78,3.375,2.853,4.296,3.02,1.903,2.215,0
1.08189,4.304,4.552,1.437,4.328,4.858,2.859,3.078,1.404,2.912,2.764,0
1.08188,4.862,2.822,2.303,4.105,3.033,2.71,3.609,0.797,2.924,2.362,1
1.08187,4.806,4.655,1.711,2.629,1.071,2.452,4.171,4.552,2.644,1.927,1
1.0819,4.664,1.083,4.007,0.603,1.373,1.523,3.592,1.949,2.099,3.289,1
1.08199,0.972,3.789,1.053,2.797,1.627,1.39,2.887,2.465,2.191,2.36,0
1.08195,1.419,3.341,3.373,2.883,4.331,3.253,4.355,1.547,3.833,4.147,0
1.08194,4.562,1.921,1.917,4.652,1.482,4.993,4.494,1.103,1.577,3.77,0
1.08194,4.245,2.397,4.055,1.067,2.313,3.583,0.58,1.404,3.571,4.601,1
1.08197,4.858,1.019,2.776,3.912,2.763,3.586,1.351,0.817,0.978,0.668,0
1.08189,3.059,1.159,1.33,1.418,4.281,4.956,4.671,0.929,0.779,4.782,1
1.08187,2.579,3.941,1.971,2.601,2.819,2.435,3.204,0.56,3.655,4.299,1
1.0819,3.827,2.324,1.378,1.243,2.807,0.569,4.519,4.108,3.671,4.373,1
1.08196,3.332,2.32,3.198,2.769,4.922,4.122,1.662,4.601,3.85,4.001,0
1.08199,4.534,4.459,3.627,3.953,3.944,2.326,3.752,0.817,2.038,2.61,0
1.08193,0.548,2.1,3.374,3.308,1.544,4.751,3.497,2.02,3.469,3.063,0
1.08187,4.999,3.39,3.656,3.928,4.91,0.603,3.269,3.825,1.655,2.307,0
1.08185,0.727,1.38,2.191,0.943,1.629,4.575,2.975,2.785,4.852,3.056,0
1.08195,4.143,0.843,3.189,3.917,0.703,4.686,1.22,2.623,1.261,2.73,0
1.08194,3.25,0.763,4.754,2.393,2.87,3.19,2.145,1.786,3.448,3.023,0
1.08192,1.832,0.563,1.603,0.692,1.205,3.896,2.255,4.539,3.868,0.726,0
1.08202,4.949,4.75,0.831,4.575,2.433,2.649,4.879,1.597,2.855,4.718,0
1.08201,4.905,4.175,3.216,1.018,3.309,2.551,1.416,0.734,2.876,1.059,0
1.08194,2.493,3.506,2.55,1.68,3.12,2.388,4.001,2.888,4.989,4.787,1
1.08193,1.012,4.517,4.029,3.312,2.116,1.722,3.583,3.042,3.163,3.349,1
1.08189,3.89,1.354,1.62,4.909,4.621,4.454,0.678,0.774,1.719,2.413,1
1.08186,2.937,0.826,0.889,3.543,2.978,3.34,2.179,2.653,1.448,2.047,0
1.08184,3.852,4.273,0.835,1.039,4.141,3.307,3.959,1.459,2.41,1.661,1
1.08187,3.441,4.951,1.964,2.969,3.857,4.644,2.424,2.162,0.937,4.438,0
1.08181,0.853,0.874,3.039,2.682,3.584,1.845,3.99,0.842,1.46,3.479,1
1.08186,3.762,3.623,1.773,1.143,2.11,3.767,2.149,1.028,3.692,3.062,0
1.08188,4.634,4.73,4.61,2.471,4.114,1.871,1.929,2.298,4.706,4.526,0
1.08188,2.145,2.135,2.28,2.244,1.377,3.037,4.087,2.933,4.264,3.033,0
1.08195,1.295,3.915,4.464,1.767,0.6,2.82,2.949,3.054,4.849,3.43,0
1.08195,2.961,4.046,0.878,0.868,3.817,4.546,0.881,3.354,1.147,3.856,0
1.08193,3.421,1.605,1.492,3.944,2.847,3.941,2.275,2.02,4.857,3.526,0
1.08185,3.744,3.687,4.617,2.348,4.218,3.5,4.341,4.127,4.252,4.499,0
1.08185,4.81,3.381,2.857,3.695,4.11,2.397,2.392,1.158,3.836,4.96,0
1.08183,1.42,2.412,1.814,4.864,0.766,1.888,1.017,3.416,3.992,1.307,0
1.08185,0.781,2.564,3.128,4.592,0.664,0.989,1.33,1.478,1.559,3.728,0
1.08181,1.332,1.765,1.276,3.909,1.903,2.967,4.177,2.658,1.672,4.493,0
1.08179,4.614,2.039,2.963,4.807,2.672,1.495,0.724,4.764,4.106,2.232,0
1.08171,1.735,4.956,3.459,1.569,0.549,2.627,2.172,4.085,3.71,3.227,0
1.0817,1.208,1.206,1.948,1.667,4.412,2.823,3.366,4.969,1.699,2.906,0
1.08176,0.506,4.196,4.308,4.199,0.871,1.715,3.724,0.937,2.66,2.609,0
1.08185,4.8,3.14,4.358,1.866,4.052,2.376,4.625,0.909,4.218,1.438,0
1.08178,1.209,4.244,1.901,1.898,0.842,1.876,2.603,3.718,2.119,3.592,1
